Keyword,homelight.com,redfin.com,trulia.com,remax.com,compass.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),redfin.com (pages),trulia.com (pages),remax.com (pages),compass.com (pages)
cape may nj,0,0,87,0,0,33100,79,0.56,0.05,189000000,"informational, navigational",,,https://www.trulia.com/NJ/Cape_May/,,
cary north carolina,0,51,96,0,0,33100,76,0.29,0.01,45200000,informational,,https://www.redfin.com/city/35713/NC/Cary,https://www.trulia.com/NC/Cary/,,
centralia pa,0,0,35,0,0,33100,63,0.00,0,2490000,informational,,,https://www.trulia.com/PA/Centralia/,,
chandler az,0,0,83,0,0,33100,77,0.60,0.02,65700000,informational,,,https://www.trulia.com/AZ/Chandler/,,
charleston wv,0,0,84,0,0,33100,81,0.60,0.03,73100000,informational,,,https://www.trulia.com/n/wv/charleston/west-side/227967/,,
chincoteague,0,0,91,0,0,33100,76,0.66,0.1,4540000,"informational, transactional",,,https://www.trulia.com/VA/Chincoteague/,,
chris lane,0,0,0,0,41,33100,66,0.41,0.03,216000000,informational,,,,,https://www.compass.com/agents/chris-lane/
chris long,0,0,0,83,37,33100,71,0.00,0,1790000000,"informational, transactional",,,,https://www.remax.com/real-estate-agents/christopher-long-maple-grove-mn/100084885,https://www.compass.com/agents/chris-long/
chris o donnell,0,0,0,0,19,33100,62,0.00,0,19800000,informational,,,,,https://www.compass.com/agents/chris-odonnell/
chris wood,0,79,0,0,0,33100,65,0.56,0,333000000,informational,,https://www.redfin.com/VA/Oakton/2404-Chris-Wood-Ct-22124/home/9440929,,,
christina chong,0,0,0,0,36,33100,56,0.00,0,4960000,"informational, transactional",,,,,https://www.compass.com/agents/christina-chong/
cielito lindo,0,87,0,0,0,33100,51,1.26,0,2350000,commercial,,https://www.redfin.com/CA/Anaheim/171-N-Cielito-Lindo-92807/home/4311017,,,
cipriani,0,0,38,0,0,33100,81,0.97,0,21000000,navigational,,,https://www.trulia.com/n/ca/belmont/cipriani/184863/,,
city walk,0,0,0,44,0,33100,68,1.32,0.19,2210000000,commercial,,,,https://www.remax.com/homes-for-sale/mn/st-paul/city-walk-condominiums/neighborhood/1055540,
cobb county schools,0,0,47,0,0,33100,74,1.16,0.01,100,"informational, navigational",,,https://www.trulia.com/school-district/GA-cobb_county-cobb_county_school_district-5700040310,,
coeur d'alene idaho,0,14,0,0,0,33100,71,0.74,0.07,10500000,informational,,https://www.redfin.com/city/4370/ID/Coeur-d-Alene,,,
colorado springs co,0,25,17,0,0,33100,91,0.62,0.01,310000000,informational,,https://www.redfin.com/city/4147/CO/Colorado-Springs,https://www.trulia.com/CO/Colorado_Springs/,,
compass group,0,0,0,0,8,33100,86,0.28,0.04,264000000,navigational,,,,,https://www.compass.com/
concord nc,0,0,83,0,0,33100,67,0.43,0.01,68300000,informational,,,https://www.trulia.com/NC/Concord/,,
condos for rent,0,18,12,14,0,33100,68,0.56,0.3,64,commercial,,https://www.redfin.com/rentals,"https://www.trulia.com/for_rent/Dallas,TX/CONDO_type/",https://www.remax.com/condos-for-rent,
connie carter,0,0,0,0,25,33100,47,0.00,0,30300000,informational,,,,,https://www.compass.com/agents/connie-carter/
conroe isd,0,0,0,0,40,33100,71,1.29,0,60,navigational,,,,,https://www.compass.com/listing/10256-stone-gate-drive-conroe-tx-77385/1131941402947177873/
convenient md,0,0,0,0,96,33100,42,1.99,0.09,148000000,navigational,,,,,https://www.compass.com/listing/1206-harbor-island-walk-baltimore-md-21230/1131816971831151081/
coral springs,0,85,0,0,0,33100,69,0.49,0,66400000,informational,,https://www.redfin.com/city/3744/FL/Coral-Springs,,,
covington ga,0,98,94,0,0,33100,70,0.22,0.03,27200000,informational,,https://www.redfin.com/city/5173/GA/Covington,https://www.trulia.com/GA/Covington/,,
cox store,0,0,25,0,0,33100,97,6.75,0,157000000,"navigational, transactional",,,https://www.trulia.com/p/va/floyd/1011-cox-store-rd-sw-floyd-va-24091--1014239663,,
craigslist charlottesville,0,0,44,0,0,33100,39,0.62,0,84,navigational,,,https://www.trulia.com/for_rent/51065_c/,,
craigslist erie pa,0,0,27,0,0,33100,34,0.00,0,63,navigational,,,https://www.trulia.com/PA/Erie/,,
craigslist lincoln ne,0,0,56,0,0,33100,38,0.84,0,64,navigational,,,"https://www.trulia.com/for_rent/Lincoln,CA/SINGLE-FAMILY_HOME_type/",,
craigslist stl,0,0,92,0,0,33100,44,0.51,0,88,navigational,,,https://www.trulia.com/for_rent/4375_nh/,,
craigslist syracuse ny,0,0,70,0,0,33100,30,0.60,0,70,navigational,,,https://www.trulia.com/NY/Liverpool/,,
dahlonega ga,0,0,0,44,0,33100,82,0.49,0.06,4810000,"informational, navigational",,,,https://www.remax.com/homes-for-sale/ga/dahlonega/city/1321240,
dania beach,0,80,69,0,0,33100,48,0.73,0.01,13400000,"informational, navigational",,https://www.redfin.com/city/4241/FL/Dania-Beach,https://www.trulia.com/FL/Dania_Beach/,,
daunting,0,74,0,0,0,33100,56,0.00,0,129000000,informational,,https://www.redfin.com/CA/El-Dorado-Hills/1654-Daunting-Dr-95762/home/167365715,,,
david chang,0,0,0,0,80,33100,75,1.40,0.02,199000000,informational,,,,,https://www.compass.com/agents/david-chang/
daytona beach florida,0,0,71,0,0,33100,86,0.76,0.01,55500000,"informational, navigational",,,https://www.trulia.com/FL/Daytona_Beach/,,
deadwood south dakota,0,0,87,0,0,33100,64,0.36,0.05,3250000,"informational, navigational",,,https://www.trulia.com/SD/Deadwood/,,
dekalb county schools,0,0,27,0,0,33100,85,11.42,0.01,6560000,"informational, navigational",,,https://www.trulia.com/school-district/GA-dekalb_county-dekalb_county_school_district-5700040354,,
denton tx,0,71,81,0,0,33100,68,0.28,0.01,46900000,informational,,https://www.redfin.com/city/5145/TX/Denton,https://www.trulia.com/TX/Denton/,,
downtown chicago,0,48,0,0,0,33100,79,0.75,0,299000000,"informational, transactional",,https://www.redfin.com/neighborhood/739060/IL/Chicago/Downtown-Chicago,,,
dumbo brooklyn,0,0,0,0,16,33100,69,0.86,0.01,7920000,informational,,,,,https://www.compass.com/neighborhood-guides/nyc/dumbo/
eddie albert,0,71,0,0,0,33100,53,0.00,0,27700000,"informational, transactional",,https://www.redfin.com/CA/Twentynine-Palms/85100-Eddie-Albert-Rd-92277/home/161138572,,,
edgen,0,60,0,0,0,33100,34,4.29,0.04,402000,navigational,,https://www.redfin.com/TN/Pleasant-View/1418-Hicks-Edgen-Rd-37146/home/87215710,,,
edmonds,0,0,0,0,91,33100,84,1.57,0.02,184000000,informational,,,,,https://www.compass.com/neighborhood-guides/seattle/edmonds/
el cholo,0,63,0,0,0,33100,66,1.03,0,0,navigational,,https://www.redfin.com/NV/Las-Vegas/4370-E-El-Cholo-Way-89121/home/28964917,,,
el gaucho,0,82,0,0,0,33100,65,0.39,0,17100000,navigational,,https://www.redfin.com/CA/Palm-Springs/3568-El-Gaucho-Cir-E-92264/home/6089527,,,
el nopal,0,40,0,0,0,33100,38,1.00,0.01,11900000,commercial,,https://www.redfin.com/CA/Santee/10829-El-Nopal-92071/home/5034063,,,
eldora 50/50,0,0,57,0,0,33100,33,0.00,0,93,navigational,,,https://www.trulia.com/p/ia/eldora/25637-245th-st-eldora-ia-50627--2053236379,,
emeryville,0,70,0,0,10,33100,63,0.59,0,11000000,informational,,https://www.redfin.com/city/5819/CA/Emeryville,,,https://www.compass.com/homes-for-sale/emeryville-ca/
enchanto,0,19,0,0,33,33100,32,2.38,0.07,100,"informational, transactional",,https://www.redfin.com/CA/San-Jose/11390-Enchanto-Vista-Dr-95127/home/987979,,,https://www.compass.com/listing/0-enchanto-vista-san-jose-ca-95127/887941642011626409/
encino,0,15,13,89,11,33100,69,0.22,0,30000000,"informational, transactional",,https://www.redfin.com/neighborhood/899/CA/Los-Angeles/Encino,https://www.trulia.com/n/ca/los-angeles/encino/88114/,https://www.remax.com/homes-for-sale/ca/encino/city/9025229,https://www.compass.com/neighborhood-guides/la/encino/
estate,0,57,0,0,94,33100,88,1.48,0.02,3300000000,commercial,,https://www.redfin.com/,,,https://www.compass.com/
estimate,0,71,0,0,0,33100,78,1.65,0.05,4010000000,informational,,https://www.redfin.com/redfin-estimate,,,
eureka ca,0,90,0,13,0,33100,85,0.67,0.02,39700000,informational,,https://www.redfin.com/city/5945/CA/Eureka,,https://www.remax.com/homes-for-sale/ca/eureka/city/0623042,
eureka springs arkansas,0,0,81,0,0,33100,73,0.53,0.08,8050000,informational,,,https://www.trulia.com/AR/Eureka_Springs/,,
evergreen market,0,67,0,0,0,33100,56,0.00,0,55600000,navigational,,https://www.redfin.com/neighborhood/65719/CA/San-Jose/Evergreen/housing-market,,,
fairfax va,0,23,0,0,0,33100,82,0.70,0.01,67200000,informational,,https://www.redfin.com/city/6790/VA/Fairfax,,,
fairfax virginia,0,32,0,77,0,33100,83,0.70,0.01,80800000,informational,,https://www.redfin.com/city/6790/VA/Fairfax,,https://www.remax.com/homes-for-sale/va/fairfax/city/5126496,
fidelity national title,0,58,0,0,0,33100,70,1.74,0,21100000,navigational,,https://www.redfin.com/buy-a-home/openbook/escrow/bay-area-fidelity-national-title-co-sp79339,,,
fire pit ideas,0,41,0,0,0,33100,57,0.89,1,86500000,informational,,https://www.redfin.com/blog/6-fire-pits-you-can-make-in-a-day/,,,
florence sc,0,0,87,0,0,33100,70,0.52,0.01,165000000,informational,,,https://www.trulia.com/SC/Florence/,,
fort worth tx,0,44,96,0,0,33100,98,0.41,0.01,412000000,informational,,https://www.redfin.com/city/30827/TX/Fort-Worth,https://www.trulia.com/TX/Fort_Worth/,,
framingham,0,0,93,0,0,33100,77,1.03,0,42000000,"informational, navigational",,,https://www.trulia.com/MA/Framingham/,,
frederick md,0,15,64,0,0,33100,79,0.43,0.01,117000000,informational,,https://www.redfin.com/city/7735/MD/Frederick,https://www.trulia.com/MD/Frederick/,,
frisco isd,0,0,61,0,68,33100,66,1.63,0,82,"informational, navigational",,,https://www.trulia.com/TX/Frisco/,,https://www.compass.com/listing/11229-clearstream-lane-frisco-tx-75035/1131937882860497953/
frisco texas,0,92,0,0,0,33100,81,0.61,0.01,49400000,informational,,https://www.redfin.com/city/30844/TX/Frisco,,,
gaithersburg,0,35,0,0,0,33100,74,0.53,0,39300000,"informational, navigational",,https://www.redfin.com/city/7974/MD/Gaithersburg,,,
gastonia nc,0,0,76,0,0,33100,73,0.48,0.01,16700000,informational,,,https://www.trulia.com/NC/Gastonia/,,
gaylord michigan,0,0,0,87,0,33100,72,0.62,0.01,6380000,"informational, navigational",,,,https://www.remax.com/homes-for-sale/mi/gaylord/city/2631720,
geneva on the lake,0,81,0,0,0,33100,67,0.30,0.17,128000000,informational,,https://www.redfin.com/city/7558/OH/Geneva-on-the-Lake/land,,,
grand prairie tx,0,87,0,0,0,33100,77,0.58,0.01,38100000,"informational, navigational",,https://www.redfin.com/city/30812/TX/Grand-Prairie,,,
great falls montana,0,0,0,91,0,33100,70,0.78,0.01,255000000,informational,,,,https://www.remax.com/homes-for-sale/mt/great-falls/city/3032800,
green acres mall,0,0,39,0,0,33100,62,1.41,0,27300000,navigational,,,https://www.trulia.com/p/ny/valley-stream/1000-green-acres-mall-1-valley-stream-ny-11581--2177219167,,
green turtle,0,66,0,0,0,33100,80,1.37,0.01,328000000,navigational,,https://www.redfin.com/CA/Coronado/1-Green-Turtle-Rd-92118/home/6113661,,,
green valley ranch,0,8,81,20,0,33100,80,5.87,0.13,174000000,navigational,,https://www.redfin.com/neighborhood/107770/NV/Henderson/Green-Valley-Ranch,https://www.trulia.com/n/co/denver/gateway-green-valley-ranch/212548/,https://www.remax.com/homes-for-sale/nv/henderson/green-valley-ranch/neighborhood/7383,
gulfport mississippi,0,0,0,20,0,33100,71,0.82,0.05,10400000,informational,,,,https://www.remax.com/homes-for-sale/ms/gulfport/city/2829700,
hagerstown md,0,0,42,53,0,33100,76,0.91,0.02,18100000,informational,,,https://www.trulia.com/MD/Hagerstown/,https://www.remax.com/homes-for-sale/md/hagerstown/city/2436075,
hampton beach,0,72,0,42,0,33100,75,0.56,0.05,141000000,"informational, navigational",,https://www.redfin.com/city/33037/NH/Hampton-Beach,,https://www.remax.com/homes-for-sale/nh/hampton-beach/hampton-beach/neighborhood/1170902,
harrison arkansas,0,0,72,0,0,33100,63,0.40,0.01,19900000,informational,,,https://www.trulia.com/AR/Harrison/,,
harrisonburg va,0,0,90,0,0,33100,68,0.85,0.03,14300000,informational,,,https://www.trulia.com/VA/Harrisonburg/,,
hartford connecticut,0,10,0,0,0,33100,81,1.00,0.01,76200000,informational,,https://www.redfin.com/city/9406/CT/Hartford,,,
headway,0,0,0,0,68,33100,77,2.27,0.06,35100000,navigational,,,,,https://www.compass.com/agents/headway-group/
hesperia,0,91,0,0,0,33100,73,0.65,0,15500000,"informational, navigational",,https://www.redfin.com/city/8562/CA/Hesperia,,,
hi point,0,79,0,0,0,33100,50,1.19,0,3320000000,navigational,,https://www.redfin.com/CA/Los-Angeles/1159-Hi-Point-St-90035/home/6915127,,,
hickory nc,0,0,80,0,0,33100,75,0.42,0.01,43600000,informational,,,https://www.trulia.com/NC/Hickory/,,
home mortgage calculator,0,31,30,0,0,33100,100,1.74,0.22,312000000,informational,,https://www.redfin.com/mortgage-calculator,https://www.trulia.com/mortgage-payment-calculator/,,
honolulu airport,0,0,70,0,0,33100,78,1.31,0.02,179000000,navigational,,,https://www.trulia.com/n/hi/honolulu/airport/82883/,,
horseshoe bay resort,0,0,0,49,0,33100,68,0.66,0.14,6160000,navigational,,,,https://www.remax.com/real-estate-offices/remax-horseshoe-bay-resort-sales-co-horseshoe-bay-tx/100424187,
house payment calculator,0,22,16,0,0,33100,100,1.36,0.24,558000000,informational,,https://www.redfin.com/how-much-house-can-i-afford,https://www.trulia.com/mortgage-payment-calculator/,,
how old is drake,0,85,0,0,0,33100,58,0.00,0,430000000,informational,,https://www.redfin.com/SC/Seabrook-Island/2894-Old-Drake-Dr-29455/home/68543476,,,
how to get rid of roaches,0,39,0,0,0,33100,63,1.61,1,4990000,informational,,https://www.redfin.com/blog/how-to-get-rid-of-roaches-in-apartment-or-house/,,,
income based apartments near me,0,0,22,0,0,33100,76,0.94,0.18,72,"navigational, transactional",,,"https://www.trulia.com/for_rent/Chicago,IL/low_income_tags/",,
indian rocks beach,0,88,90,27,0,33100,51,0.69,0.05,48100000,"informational, transactional",,https://www.redfin.com/city/8606/FL/Indian-Rocks-Beach,"https://www.trulia.com/sold/Indian_Rocks_Beach,FL/",https://www.remax.com/homes-for-sale/fl/indian-rocks-beach/city/1233625,
invierno,0,16,0,0,0,33100,38,0.00,0,677000000,informational,,https://www.redfin.com/CA/San-Diego/11787-Invierno-Dr-92124/home/5414236,,,
irving tx,0,90,0,51,0,33100,68,0.56,0,53500000,informational,,https://www.redfin.com/city/9410/TX/Irving,,https://www.remax.com/homes-for-sale/tx/irving/city/4837000,
jackson heights,0,76,92,0,4,33100,66,0.47,0,116000000,"informational, transactional",,https://www.redfin.com/neighborhood/32288/NY/New-York/Jackson-Heights,"https://www.trulia.com/NY/New_York,5141,Jackson_Heights/",,https://www.compass.com/neighborhood-guides/nyc/jackson-heights/
jackson ms,0,80,70,0,0,33100,90,0.40,0.01,494000000,informational,,https://www.redfin.com/city/9165/MS/Jackson,https://www.trulia.com/MS/Jackson/,,
jackson tn,0,0,97,0,0,33100,61,0.48,0.01,349000000,informational,,,https://www.trulia.com/TN/Jackson/,,
jacksonville nc,0,0,0,83,0,33100,81,0.73,0.01,213000000,"informational, navigational",,,,https://www.remax.com/homes-for-sale/nc/jacksonville/city/3734200,
james madison high school,0,0,62,0,0,33100,84,0.00,0,125000000,commercial,,,https://www.trulia.com/schools/NY-brooklyn-james_madison_high_school-741149,,
janet jones,0,0,0,42,0,33100,50,0.30,0,83800000,"informational, transactional",,,,https://www.remax.com/real-estate-agents/janet-jones-spring-tx/101914221,
jason mitchell,0,0,0,0,38,33100,53,0.50,0,123000000,"informational, transactional",,,,,https://www.compass.com/agents/jason-mitchell/
jason weaver,0,0,0,30,0,33100,41,0.55,0,15800000,informational,,,,https://www.remax.com/real-estate-agents/jason-weaver-thornton-co/101948578,
jeffrey clark,0,0,0,73,0,33100,67,2.86,0.03,79100000,informational,,,,https://www.remax.com/real-estate-agents/jeffrey-clark-greenfield-in/100070502,
jessica drake,0,0,0,21,0,33100,67,0.00,0,28100000,informational,,,,https://www.remax.com/real-estate-agents/jessica-drake-gardnerville-nv/102052683,
jet pizza,0,62,0,0,0,33100,69,1.61,0.06,80,navigational,,https://www.redfin.com/OH/Cincinnati/533-Pedretti-Ave-45238/home/76081266,,,
jim caldwell,0,0,0,0,16,33100,53,0.30,0.01,10400000,"informational, transactional",,,,,https://www.compass.com/agents/jim-caldwell/
johnson city tn,0,0,0,98,0,33100,67,0.74,0.02,219000000,informational,,,,https://www.remax.com/homes-for-sale/tn/johnson-city/city/4738320,
joplin mo,0,0,84,98,0,33100,76,0.55,0.01,14900000,informational,,,https://www.trulia.com/MO/Joplin/,https://www.remax.com/homes-for-sale/mo/joplin/city/2937592,
julie white,0,0,0,0,17,33100,33,0.00,0,566000000,"informational, transactional",,,,,https://www.compass.com/agents/julie-white/
kansas city mo,0,62,72,0,0,33100,96,0.96,0,499000000,informational,,https://www.redfin.com/city/35751/MO/Kansas-City,https://www.trulia.com/MO/Kansas_City/,,
kate kennedy,0,0,0,0,88,33100,44,0.00,0,75800000,"informational, transactional",,,,,https://www.compass.com/agents/katie-kennedy/
kenosha wisconsin,0,0,74,0,0,33100,77,0.62,0.02,12800000,informational,,,https://www.trulia.com/WI/Kenosha/,,
killeen tx,0,0,0,92,0,33100,79,0.65,0.01,17200000,informational,,,,https://www.remax.com/homes-for-sale/tx/killeen/city/4839148,
kimberly elise,0,81,0,0,0,33100,41,0.00,0,3900000,"informational, transactional",,https://www.redfin.com/TN/Bartlett/6173-Kimberly-Elise-Dr-38135/home/60626329,,,
king county,0,58,0,0,0,33100,89,2.48,0,93,"informational, navigational",,https://www.redfin.com/county/118/WA/King-County,,,
king palm,0,69,0,0,0,33100,40,0.00,0.01,374000000,navigational,,https://www.redfin.com/CA/Simi-Valley/1220-King-Palm-Dr-93065/home/4629273,,,
kingman az,0,0,0,47,0,33100,64,0.92,0.03,7730000,informational,,,,https://www.remax.com/homes-for-sale/az/kingman/city/0437620,
kingston ny,0,0,6,0,0,33100,67,0.46,0.02,210000000,informational,,,https://www.trulia.com/NY/Kingston/,,
klein isd,0,0,0,0,66,33100,67,1.06,0,81,navigational,,,,,https://www.compass.com/listing/19811-iceland-court-spring-tx-77379/569500886919967977/
koreatown,0,0,54,0,0,33100,66,1.22,0,11500000,"informational, transactional",,,https://www.trulia.com/n/ca/los-angeles/koreatown/87328/,,
laguna woods,0,5,51,0,85,33100,69,0.38,0.05,12300000,"informational, navigational",,https://www.redfin.com/neighborhood/66191/CA/Laguna-Woods/Laguna-Woods-Village,https://www.trulia.com/CA/Laguna_Woods/,,https://www.compass.com/homes-for-sale/laguna-woods-ca/
lake las vegas,0,62,59,0,0,33100,75,2.03,0.14,447000000,"informational, transactional",,https://www.redfin.com/neighborhood/108511/NV/Henderson/Lake-Las-Vegas,https://www.trulia.com/n/nv/henderson/lake-las-vegas/85011/,,
lake lure,0,0,98,0,0,33100,62,0.65,0.07,27600000,"informational, transactional",,,https://www.trulia.com/NC/Lake_Lure/,,
lakeland fl,0,79,0,0,0,33100,80,0.72,0.01,41000000,informational,,https://www.redfin.com/city/9711/FL/Lakeland,,,
lamberts,0,0,72,0,0,33100,67,4.97,0.01,290000000,commercial,,,https://www.trulia.com/n/va/norfolk/lamberts-point/86647/,,
lancaster ca,0,0,14,0,0,33100,63,0.58,0.01,181000000,informational,,,https://www.trulia.com/CA/Lancaster/,,
larry miller,0,0,0,86,0,33100,63,1.06,0.01,78800000,informational,,,,https://www.remax.com/real-estate-agents/larry-miller-mill-creek-wa/101912241,
las mananitas,0,46,0,0,0,33100,58,1.30,0,915000,"informational, transactional",,https://www.redfin.com/CA/Santa-Clarita/26837-Las-Mananitas-Dr-91354/home/5953503,,,
las vegas strip nv,0,0,42,0,0,33100,84,0.88,0,12700000,"informational, transactional",,,"https://www.trulia.com/NV/Las_Vegas,131600,The_Strip/",,
lauren lane,0,65,0,0,26,33100,52,0.00,0,67300000,informational,,https://www.redfin.com/VA/Vienna/902-Lauren-Ln-SE-22180/home/9466569,,,https://www.compass.com/agents/lauren-lane/
lava hot springs,0,0,0,55,0,33100,65,0.58,0.07,7560000,"informational, navigational",,,,https://www.remax.com/homes-for-sale/id/lava-hot-springs/city/1645820,
lazy acres,0,52,0,0,0,33100,45,0.85,0.01,8720000,navigational,,https://www.redfin.com/CA/Lakeside/14097-Lazy-Acres-Dr-92040/home/4848054,,,
lincoln ne,0,46,0,0,0,33100,89,1.17,0.01,312000000,informational,,https://www.redfin.com/city/7163/NE/Lincoln,,,
little havana,0,0,91,0,0,33100,64,1.25,0.01,43100000,"informational, transactional",,,"https://www.trulia.com/FL/Miami,187859,Little_Havana/",,
living spaces near me,0,86,59,0,0,33100,43,1.78,1,576000000,transactional,,https://www.redfin.com/houses-near-me,https://www.trulia.com/p/ca/visalia/916-w-prescott-ave-visalia-ca-93291--2582285295,,
lombard street,0,87,0,0,0,33100,73,1.21,0.01,22600000,"informational, transactional",,https://www.redfin.com/CA/San-Francisco/1057-Lombard-St-94109/home/12352965,,,
long beach ca,0,41,0,0,0,33100,93,0.95,0,1910000000,informational,,https://www.redfin.com/city/10940/CA/Long-Beach,,,
long beach california,0,43,0,0,0,33100,93,0.71,0.02,1930000000,informational,,https://www.redfin.com/city/10940/CA/Long-Beach,,,
los arcos,0,73,0,0,0,33100,42,1.16,0,78900000,commercial,,https://www.redfin.com/CA/San-Marcos/382-Via-Los-Arcos-92069/home/3916502,,,
luxury apartments near me,0,0,78,0,0,33100,53,1.49,0.26,82,transactional,,,https://www.trulia.com/p/il/oak-park/12-s-austin-blvd-1-oak-park-il-60304--2518048594,,
madeira beach,0,86,61,97,0,33100,65,0.69,0.07,72200000,"informational, transactional",,https://www.redfin.com/city/10792/FL/Madeira-Beach,https://www.trulia.com/FL/Madeira_Beach/,https://www.remax.com/real-estate-offices/remax-all-star-madeira-beach-fl/100429815,
madison wi,0,84,0,95,0,33100,100,1.06,0,282000000,informational,,https://www.redfin.com/city/12257/WI/Madison,,https://www.remax.com/homes-for-sale/wi/madison/city/5548000,
malibu beach,0,0,0,0,68,33100,58,0.62,0.01,88700000,informational,,,,,https://www.compass.com/homes-for-sale/malibu-beach-malibu-ca/
mami,0,0,0,0,40,33100,53,0.65,0,295000000,"informational, transactional",,,,,https://www.compass.com/agents/mami-takeda/
mardel,0,18,0,0,54,33100,60,0.66,0.12,123000000,navigational,,https://www.redfin.com/CA/San-Jose/2070-Mardel-Ln-95128/home/1424879,,,https://www.compass.com/agents/marel-dugan/
mark lee,0,93,0,0,0,33100,76,0.00,0,859000000,"informational, transactional",,https://www.redfin.com/MA/Needham-Heights/44-Mark-Lee-Rd-02494/home/8920061,,,
mary bell,0,64,0,0,0,33100,61,0.00,0,295000000,"informational, transactional",,https://www.redfin.com/CA/Shadow-Hills/10654-Mary-Bell-Ave-91040/home/5500217,,,
matthew knight,0,0,0,0,72,33100,51,0.43,0,70200000,informational,,,,,https://www.compass.com/agents/matt-knight/
melrose trading post,0,0,0,96,0,33100,59,2.00,0,1660000,navigational,,,,https://www.remax.com/,
merry go round,0,86,0,0,0,33100,50,0.38,0.68,96800000,"informational, transactional",,https://www.redfin.com/MD/Mt-Airy/802-Merry-Go-Round-Way-21771/home/14432373,,,
mesa arizona,0,0,0,80,0,33100,80,0.55,0.01,110000000,informational,,,,https://www.remax.com/homes-for-sale/az/mesa/city/0446000,
mesa az,0,48,0,79,0,33100,86,0.55,0.01,170000000,informational,,https://www.redfin.com/city/11736/AZ/Mesa,,https://www.remax.com/homes-for-sale/az/mesa/city/0446000,
mi casa,0,0,0,86,0,33100,50,0.84,0,4080000000,commercial,,,,https://www.remax.com/real-estate-offices/remax-mi-casa-chicago-il/101967408,
michael gross,0,0,0,35,0,33100,62,0.51,0,326000000,"informational, transactional",,,,https://www.remax.com/real-estate-agents/michael-gross-knoxville-tn/102104650,
michael johnson,0,0,0,0,64,33100,73,1.34,0.01,704000000,"informational, transactional",,,,,https://www.compass.com/agents/michael-johnson/
michael miller,0,0,0,67,0,33100,41,0.43,0.01,475000000,informational,,,,https://www.remax.com/real-estate-agents/michael-miller-eugene-or/100034533,
middlesex savings bank,0,66,0,0,0,33100,71,2.35,0,1230000,navigational,,https://www.redfin.com/openbook/home-loans/boston-middlesex-savings-bank-sp48501,,,
midland texas,0,0,88,0,0,33100,70,1.15,0,63000000,informational,,,https://www.trulia.com/TX/Midland/,,
midland tx,0,0,65,0,0,33100,81,1.15,0,56400000,informational,,,https://www.trulia.com/TX/Midland/,,
mike brown,0,0,0,0,57,33100,77,0.29,0.01,1020000000,"informational, transactional",,,,,https://www.compass.com/agents/mike-brown/
mike wallace,0,0,0,73,0,33100,71,0.00,0,52600000,"informational, transactional",,,,https://www.remax.com/real-estate-agents/mike-wallace-avon-lake-oh/100030530,
milk street,0,85,0,0,0,33100,78,3.56,0.19,534000000,"informational, navigational",,https://www.redfin.com/MA/Newburyport/52-Milk-St-01950/home/8324316,,,
milwaukee zoo,0,77,0,0,0,33100,75,1.40,0.01,6450000,navigational,,https://www.redfin.com/neighborhood/188431/WI/Milwaukee/Milwaukee-County-Zoo,,,
mission lane login,0,0,0,0,51,33100,65,1.03,0.01,167000000,navigational,,,,,https://www.compass.com/listing/310-mission-lane-houston-tx-77011/1100039027546549873/
missoula mt,0,0,0,92,0,33100,79,0.80,0.01,24900000,informational,,,,https://www.remax.com/homes-for-sale/mt/missoula/city/3050200,
modesto ca,0,63,49,0,0,33100,88,0.33,0,56800000,informational,,https://www.redfin.com/city/12359/CA/Modesto,https://www.trulia.com/CA/Modesto/,,
montecito,0,0,0,0,79,33100,65,0.72,0.01,16300000,informational,,,,,https://www.compass.com/neighborhood-guides/santa_barbara_montecito/montecito/
morgantown wv,0,0,96,0,0,33100,76,0.97,0.02,25900000,"informational, navigational",,,https://www.trulia.com/WV/Morgantown/,,
mortgage calculator with taxes,0,14,15,0,0,33100,100,1.78,0.16,109000000,informational,,https://www.redfin.com/mortgage-calculator,https://www.trulia.com/mortgage-payment-calculator/,,
moses lake,0,0,79,0,0,33100,60,0.56,0,33100000,informational,,,https://www.trulia.com/WA/Moses_Lake/,,
mud bay,0,41,0,0,0,33100,62,0.34,0.05,91,navigational,,https://www.redfin.com/WA/Lopez-Island/221-Mud-Bay-Dock-Rd-98261/home/16754493,,,
murray hill,0,0,14,0,3,33100,58,1.00,0,203000000,informational,,,https://www.trulia.com/n/ny/new-york/murray-hill/85304/,,https://www.compass.com/neighborhood-guides/nyc/murray-hill/
myat&t,0,42,0,0,0,33100,73,2.08,0.14,6180000,transactional,,https://www.redfin.com/TN/Burns/1067-Myatt-Loop-37029/home/179965390,,,
national association of realtors,0,45,0,0,0,33100,83,3.55,0.05,28800000,navigational,,https://www.redfin.com/definition/national-associationofrealtors,,,
new brunswick nj,0,44,7,0,0,33100,64,0.62,0.01,163000000,informational,,https://www.redfin.com/city/13201/NJ/New-Brunswick,https://www.trulia.com/NJ/New_Brunswick/,,
new haven ct,0,10,0,0,0,33100,76,1.10,0.02,432000000,informational,,https://www.redfin.com/city/13410/CT/New-Haven,,,
new homes,0,39,0,0,0,33100,100,1.35,0.1,3870000000,commercial,,https://www.redfin.com/city/8147/NV/Henderson/new-homes,,,
